Timestamp,IPC_Type,Pattern,Producer_Count,Consumer_Count,Message_Count,Message_Size,Total_Time_Seconds,Throughput_Msg_Per_Sec,Avg_Latency_Microseconds,P95_Latency_Microseconds,P99_Latency_Microseconds,Error_Count,Retransmit_Count,Accuracy,Success
2026-07-03 16:41:52,shared_memory,1_1,1,1,500,64,0.018519,26999.30,1.59,6.10,8.90,2,0,99.60,true
2026-07-03 16:41:52,socket,1_1,1,1,500,64,0.201636,2479.71,18.73,32.80,82.60,8,8,98.40,true
2026-07-03 16:41:53,tcp,1_1,1,1,500,64,0.188825,2647.96,20.70,49.00,84.50,8,8,98.40,true
2026-07-03 16:41:54,shared_memory,1_2,1,2,500,64,0.015735,31776.70,2.86,10.10,15.00,3,0,99.40,true
2026-07-03 16:41:54,socket,1_2,1,2,500,64,0.186757,2677.28,19.33,39.90,80.40,7,7,98.60,true
2026-07-03 16:41:54,tcp,1_2,1,2,500,64,0.187241,2670.36,18.12,35.00,78.20,3,3,99.40,true
2026-07-03 16:41:55,shared_memory,1_4,1,4,500,64,0.015489,32281.18,5.60,17.80,29.00,8,0,98.40,true
2026-07-03 16:41:55,socket,1_4,1,4,500,64,0.184101,2715.91,21.65,42.60,52.60,5,5,99.00,true
2026-07-03 16:41:55,tcp,1_4,1,4,500,64,0.186715,2677.88,35.82,57.70,74.40,5,5,99.00,true
2026-07-03 16:41:56,shared_memory,2_1,2,1,1000,64,0.015640,63939.85,4.75,22.20,35.80,8,0,99.20,true
2026-07-03 16:41:56,socket,2_1,2,1,1000,64,0.186124,5372.75,35.79,46.90,68.30,6,6,99.40,true
2026-07-03 16:41:57,tcp,2_1,2,1,1000,64,0.184001,5434.77,36.29,53.30,87.20,8,8,99.20,true
2026-07-03 16:41:57,shared_memory,2_2,2,2,1000,64,0.015075,66334.11,4.81,19.80,34.50,15,0,98.50,true
2026-07-03 16:41:58,socket,2_2,2,2,1000,64,0.188786,5297.01,20.47,38.10,53.40,9,9,99.10,true
2026-07-03 16:41:58,tcp,2_2,2,2,1000,64,0.184905,5408.17,23.64,45.00,64.70,6,6,99.40,true
2026-07-03 16:41:59,shared_memory,2_4,2,4,1000,64,0.015491,64553.20,6.15,22.60,40.50,13,0,98.70,true
2026-07-03 16:41:59,socket,2_4,2,4,1000,64,0.187507,5333.14,19.92,34.20,51.20,6,6,99.40,true
2026-07-03 16:41:59,tcp,2_4,2,4,1000,64,0.186827,5352.56,19.18,29.00,53.80,11,11,98.90,true
2026-07-03 16:42:00,shared_memory,4_1,4,1,2000,64,0.030807,64919.68,4.93,24.80,43.20,19,0,99.05,true
2026-07-03 16:42:00,socket,4_1,4,1,2000,64,0.185324,10791.93,25.87,40.50,54.50,16,16,99.20,true
2026-07-03 16:42:01,tcp,4_1,4,1,2000,64,0.185898,10758.61,23.50,35.80,48.10,19,19,99.05,true
2026-07-03 16:42:01,shared_memory,4_2,4,2,2000,64,0.015674,127600.66,6.16,30.10,55.30,14,0,99.30,true
2026-07-03 16:42:02,socket,4_2,4,2,2000,64,0.183743,10884.77,27.66,44.80,57.70,20,20,99.00,true
2026-07-03 16:42:02,tcp,4_2,4,2,2000,64,0.184968,10812.70,25.09,38.70,55.40,15,15,99.25,true
2026-07-03 16:42:03,shared_memory,4_4,4,4,2000,64,0.031372,63751.73,10.40,43.60,83.80,19,0,99.05,true
2026-07-03 16:42:03,socket,4_4,4,4,2000,64,0.187101,10689.44,24.58,37.40,51.50,25,25,98.75,true
2026-07-03 16:42:03,tcp,4_4,4,4,2000,64,0.185507,10781.29,25.26,38.90,53.00,15,15,99.25,true
2026-07-03 16:42:04,shared_memory,1_1,1,1,500,1024,0.015041,33243.35,4.41,14.40,24.10,3,0,99.40,true
2026-07-03 16:42:04,socket,1_1,1,1,500,1024,0.183835,2719.83,40.30,57.00,80.80,5,5,99.00,true
2026-07-03 16:42:05,tcp,1_1,1,1,500,1024,0.201268,2484.25,38.59,53.30,83.00,5,5,99.00,true
2026-07-03 16:42:05,shared_memory,1_2,1,2,500,1024,0.015358,32557.17,4.76,17.00,25.60,6,0,98.80,true
2026-07-03 16:42:06,socket,1_2,1,2,500,1024,0.186268,2684.31,39.21,62.20,90.70,9,9,98.20,true
2026-07-03 16:42:06,tcp,1_2,1,2,500,1024,0.184549,2709.31,42.26,64.60,95.00,6,6,98.80,true
2026-07-03 16:42:07,shared_memory,1_4,1,4,500,1024,0.030344,16477.78,10.36,27.20,45.20,6,0,98.80,true
2026-07-03 16:42:07,socket,1_4,1,4,500,1024,0.198499,2518.90,40.71,62.60,106.00,2,2,99.60,true
