Timestamp,IPC_Type,Pattern,Producer_Count,Consumer_Count,Message_Count,Message_Size,Total_Time_Seconds,Throughput_Msg_Per_Sec,Avg_Latency_Microseconds,P95_Latency_Microseconds,P99_Latency_Microseconds,Error_Count,Retransmit_Count,Accuracy,Success
2026-07-03 21:56:05,shared_memory,1_1,1,1,5000,64,0.011719,426668.49,0.00,0.00,0.00,98,0,98.04,true
2026-07-03 21:56:05,socket,1_1,1,1,5000,64,0.265862,18806.78,22.64,0.00,1019.60,54,54,98.92,true
2026-07-03 21:56:06,tcp,1_1,1,1,5000,64,0.251216,19903.16,19.97,0.00,997.20,47,47,99.06,true
2026-07-03 21:56:06,shared_memory,1_4,1,4,5000,64,0.015120,330679.08,0.86,0.00,0.00,136,0,97.28,true
2026-07-03 21:56:07,socket,1_4,1,4,5000,64,0.242560,20613.50,18.24,0.00,996.40,56,56,98.88,true
2026-07-03 21:56:07,tcp,1_4,1,4,5000,64,0.249879,20009.72,19.71,0.00,1016.90,49,49,99.02,true
2026-07-03 21:56:08,shared_memory,1_8,1,8,5000,64,0.016678,299794.34,1.12,0.00,0.00,68,0,98.64,true
2026-07-03 21:56:08,socket,1_8,1,8,5000,64,0.352491,14184.76,40.04,0.00,1136.40,40,40,99.20,true
2026-07-03 21:56:09,tcp,1_8,1,8,5000,64,0.352456,14186.16,39.92,0.00,1093.50,59,59,98.82,true
2026-07-03 21:56:10,shared_memory,4_1,4,1,20000,64,0.025798,775268.92,2.97,0.00,0.00,408,0,97.96,true
2026-07-03 21:56:11,socket,4_1,4,1,20000,64,0.401739,49783.54,48.90,0.00,1364.90,196,196,99.02,true
2026-07-03 21:56:12,tcp,4_1,4,1,20000,64,0.404321,49465.67,49.95,513.20,1358.70,220,220,98.90,true
2026-07-03 21:56:12,shared_memory,4_4,4,4,20000,64,0.029616,675310.64,3.25,0.00,0.00,448,0,97.76,true
2026-07-03 21:56:13,socket,4_4,4,4,20000,64,0.327310,61104.21,34.44,0.00,1028.80,208,208,98.96,true
2026-07-03 21:56:14,tcp,4_4,4,4,20000,64,0.316039,63283.23,32.70,0.00,1047.00,222,222,98.89,true
2026-07-03 21:56:15,shared_memory,4_8,4,8,20000,64,0.029947,667853.22,3.68,0.00,0.00,376,0,98.12,true
2026-07-03 21:56:15,socket,4_8,4,8,20000,64,0.336058,59513.45,36.35,0.00,1163.50,196,196,99.02,true
2026-07-03 21:56:16,tcp,4_8,4,8,20000,64,0.328624,60859.74,34.78,0.00,1075.50,228,228,98.86,true
2026-07-03 21:56:17,shared_memory,8_1,8,1,40000,64,0.042553,940010.86,6.01,0.00,502.70,768,0,98.08,true
2026-07-03 21:56:19,socket,8_1,8,1,40000,64,0.405230,98709.28,50.33,502.00,1262.70,424,424,98.94,true
2026-07-03 21:56:20,tcp,8_1,8,1,40000,64,0.393331,101695.60,48.02,0.00,1242.40,360,360,99.10,true
2026-07-03 21:56:21,shared_memory,8_4,8,4,40000,64,0.030569,1308506.60,3.85,0.00,0.00,816,0,97.96,true
2026-07-03 21:56:22,socket,8_4,8,4,40000,64,0.435525,91843.20,56.30,516.50,1363.60,456,456,98.86,true
2026-07-03 21:56:23,tcp,8_4,8,4,40000,64,0.382026,104704.81,45.51,0.00,1212.70,368,368,99.08,true
2026-07-03 21:56:24,shared_memory,1_1,1,1,5000,1024,0.016497,303079.90,1.06,0.00,0.00,108,0,97.84,true
2026-07-03 21:56:24,socket,1_1,1,1,5000,1024,0.243635,20522.54,18.26,0.00,589.50,65,65,98.70,true
2026-07-03 21:56:25,tcp,1_1,1,1,5000,1024,0.244979,20409.89,18.67,0.00,996.10,47,47,99.06,true
2026-07-03 21:56:25,shared_memory,1_4,1,4,5000,1024,0.020327,245979.47,2.03,0.00,0.00,108,0,97.84,true
2026-07-03 21:56:26,socket,1_4,1,4,5000,1024,0.239866,20844.96,17.39,0.00,669.00,47,47,99.06,true
2026-07-03 21:56:26,tcp,1_4,1,4,5000,1024,0.242672,20603.96,18.00,0.00,996.60,41,41,99.18,true
2026-07-03 21:56:27,shared_memory,1_8,1,8,5000,1024,0.019808,252419.44,1.90,0.00,0.00,128,0,97.44,true
2026-07-03 21:56:27,socket,1_8,1,8,5000,1024,0.241294,20721.60,18.09,0.00,584.60,44,44,99.12,true
2026-07-03 21:56:28,tcp,1_8,1,8,5000,1024,0.262228,19067.35,22.15,0.00,569.20,35,35,99.30,true
2026-07-03 21:56:28,shared_memory,4_1,4,1,20000,1024,0.034220,584456.95,4.36,0.00,0.00,448,0,97.76,true
2026-07-03 21:56:29,socket,4_1,4,1,20000,1024,0.397069,50369.10,48.66,502.10,1258.50,196,196,99.02,true
2026-07-03 21:56:30,tcp,4_1,4,1,20000,1024,0.325416,61459.72,34.68,503.30,1001.90,180,180,99.10,true
2026-07-03 21:56:30,shared_memory,4_4,4,4,20000,1024,0.032065,623738.88,3.83,0.00,0.00,424,0,97.88,true
2026-07-03 21:56:31,socket,4_4,4,4,20000,1024,0.314368,63619.69,32.32,511.20,527.80,160,160,99.20,true
2026-07-03 21:56:32,tcp,4_4,4,4,20000,1024,0.425403,47014.30,54.23,517.70,1064.00,204,204,98.98,true
2026-07-03 21:56:33,shared_memory,4_8,4,8,20000,1024,0.044258,451899.79,6.35,0.00,508.70,384,0,98.08,true
2026-07-03 21:56:33,socket,4_8,4,8,20000,1024,0.361660,55300.62,41.44,0.00,1055.90,240,240,98.80,true
2026-07-03 21:56:34,tcp,4_8,4,8,20000,1024,0.445393,44904.13,58.30,527.50,1104.70,212,212,98.94,true
2026-07-03 21:56:35,shared_memory,8_1,8,1,40000,1024,0.084364,474134.20,13.92,0.00,523.00,944,0,97.64,true
2026-07-03 21:56:37,socket,8_1,8,1,40000,1024,0.407476,98165.34,50.58,521.10,1107.50,416,416,98.96,true
2026-07-03 21:56:38,tcp,8_1,8,1,40000,1024,0.406492,98402.94,50.23,525.30,582.60,410,410,98.97,true
2026-07-03 21:56:39,shared_memory,8_4,8,4,40000,1024,0.082738,483451.46,13.40,0.00,996.30,896,0,97.76,true
2026-07-03 21:56:41,socket,8_4,8,4,40000,1024,0.526980,75904.14,74.21,552.40,652.70,488,488,98.78,true
2026-07-03 21:56:43,tcp,8_4,8,4,40000,1024,0.531390,75274.22,75.11,554.50,776.60,368,368,99.08,true
2026-07-03 21:56:44,shared_memory,1_1,1,1,5000,8192,0.065310,76558.07,10.92,0.00,529.60,98,0,98.04,true
2026-07-03 21:56:44,socket,1_1,1,1,5000,8192,0.481473,10384.79,65.92,634.50,1320.50,36,36,99.28,true
2026-07-03 21:56:45,tcp,1_1,1,1,5000,8192,0.491436,10174.26,68.18,560.70,1358.30,43,43,99.14,true
2026-07-03 21:56:46,shared_memory,1_4,1,4,5000,8192,0.067703,73852.19,11.50,0.00,525.70,104,0,97.92,true
2026-07-03 21:56:46,socket,1_4,1,4,5000,8192,0.474486,10537.72,64.55,680.60,1217.50,45,45,99.10,true
2026-07-03 21:56:47,tcp,1_4,1,4,5000,8192,0.470878,10618.47,63.73,563.60,1323.50,49,49,99.02,true
2026-07-03 21:56:48,shared_memory,1_8,1,8,5000,8192,0.069623,71814.94,11.75,0.00,530.70,94,0,98.12,true
2026-07-03 21:56:48,socket,1_8,1,8,5000,8192,0.487981,10246.31,66.99,987.90,1301.00,53,53,98.94,true
2026-07-03 21:56:49,tcp,1_8,1,8,5000,8192,0.476334,10496.84,65.09,549.50,1194.10,61,61,98.78,true
2026-07-03 21:56:50,shared_memory,4_1,4,1,20000,8192,0.223853,89344.23,40.72,517.60,995.00,384,0,98.08,true
2026-07-03 21:56:51,socket,4_1,4,1,20000,8192,0.685738,29165.64,106.08,596.40,1232.60,233,233,98.83,true
2026-07-03 21:56:53,tcp,4_1,4,1,20000,8192,0.707121,28283.71,110.48,556.10,636.90,144,144,99.28,true
2026-07-03 21:56:54,shared_memory,4_4,4,4,20000,8192,0.135211,147916.96,24.54,0.00,575.10,384,0,98.08,true
2026-07-03 21:56:55,socket,4_4,4,4,20000,8192,0.679572,29430.31,105.10,572.30,1200.60,176,176,99.12,true
2026-07-03 21:56:56,tcp,4_4,4,4,20000,8192,0.682825,29290.08,105.43,553.90,634.30,204,204,98.98,true
