Timestamp,IPC_Type,Pattern,Producer_Count,Consumer_Count,Message_Count,Message_Size,Total_Time_Seconds,Throughput_Msg_Per_Sec,Avg_Latency_Microseconds,P95_Latency_Microseconds,P99_Latency_Microseconds,Error_Count,Retransmit_Count,Accuracy,Success
2026-07-03 21:59:48,shared_memory,1_1,1,1,5000,64,0.036830,135760.74,1.19,4.00,11.00,60,0,98.80,true
2026-07-03 21:59:48,socket,1_1,1,1,5000,64,0.333355,14999.03,29.99,77.00,122.00,51,51,98.98,true
2026-07-03 21:59:48,tcp,1_1,1,1,5000,64,0.304856,16401.18,25.72,64.00,98.00,51,51,98.98,true
2026-07-03 21:59:49,shared_memory,1_4,1,4,5000,64,0.029475,169634.13,1.58,3.00,40.00,58,0,98.84,true
2026-07-03 21:59:49,socket,1_4,1,4,5000,64,0.296014,16891.11,23.43,56.00,97.00,47,47,99.06,true
2026-07-03 21:59:49,tcp,1_4,1,4,5000,64,0.279453,17892.10,21.88,51.00,86.00,53,53,98.94,true
2026-07-03 21:59:49,shared_memory,1_8,1,8,5000,64,0.025731,194315.12,1.40,2.00,37.00,54,0,98.92,true
2026-07-03 21:59:50,socket,1_8,1,8,5000,64,0.291696,17141.14,23.43,52.00,95.00,55,55,98.90,true
2026-07-03 21:59:50,tcp,1_8,1,8,5000,64,0.280577,17820.45,21.46,47.00,86.00,48,48,99.04,true
2026-07-03 21:59:50,shared_memory,4_1,4,1,20000,64,0.037613,531732.46,3.31,9.00,30.00,204,0,98.98,true
2026-07-03 21:59:51,socket,4_1,4,1,20000,64,0.383409,52163.63,41.48,68.00,89.00,199,199,99.01,true
2026-07-03 21:59:51,tcp,4_1,4,1,20000,64,0.373859,53496.18,35.92,62.00,84.00,190,190,99.05,true
2026-07-03 21:59:51,shared_memory,4_4,4,4,20000,64,0.037482,533588.03,3.23,32.00,62.00,209,0,98.96,true
2026-07-03 21:59:52,socket,4_4,4,4,20000,64,0.360973,55405.78,36.49,63.00,89.00,201,201,99.00,true
2026-07-03 21:59:52,tcp,4_4,4,4,20000,64,0.367762,54382.97,36.88,63.00,87.00,193,193,99.04,true
2026-07-03 21:59:52,shared_memory,4_8,4,8,20000,64,0.038112,524766.35,3.72,3.00,93.00,186,0,99.07,true
2026-07-03 21:59:53,socket,4_8,4,8,20000,64,0.386007,51812.49,40.76,64.00,87.00,209,209,98.96,true
2026-07-03 21:59:53,tcp,4_8,4,8,20000,64,0.403770,49533.11,43.79,66.00,90.00,193,193,99.04,true
2026-07-03 21:59:54,shared_memory,8_1,8,1,40000,64,0.066171,604495.33,8.68,43.00,173.00,399,0,99.00,true
2026-07-03 21:59:54,socket,8_1,8,1,40000,64,0.406761,98337.89,40.28,74.00,99.00,407,407,98.98,true
2026-07-03 21:59:55,tcp,8_1,8,1,40000,64,0.403050,99243.17,40.90,71.00,94.00,396,396,99.01,true
2026-07-03 21:59:55,shared_memory,8_4,8,4,40000,64,0.051665,774214.03,5.94,66.00,116.00,383,0,99.04,true
2026-07-03 21:59:55,socket,8_4,8,4,40000,64,0.432101,92570.86,42.27,76.00,104.00,393,393,99.02,true
2026-07-03 21:59:56,tcp,8_4,8,4,40000,64,0.430874,92834.50,41.64,77.00,107.00,382,382,99.05,true
2026-07-03 21:59:56,shared_memory,1_1,1,1,5000,1024,0.022393,223280.07,0.73,2.00,7.00,58,0,98.84,true
2026-07-03 21:59:56,socket,1_1,1,1,5000,1024,0.402340,12427.29,45.66,78.00,109.00,52,52,98.96,true
2026-07-03 21:59:57,tcp,1_1,1,1,5000,1024,0.397808,12568.88,45.59,80.00,109.00,46,46,99.08,true
2026-07-03 21:59:57,shared_memory,1_4,1,4,5000,1024,0.025856,193380.96,1.40,3.00,31.00,39,0,99.22,true
2026-07-03 21:59:57,socket,1_4,1,4,5000,1024,0.371127,13472.47,40.62,81.00,114.00,51,51,98.98,true
2026-07-03 21:59:58,tcp,1_4,1,4,5000,1024,0.399986,12500.44,46.72,85.00,115.00,62,62,98.76,true
2026-07-03 21:59:58,shared_memory,1_8,1,8,5000,1024,0.028001,178564.41,1.75,3.00,43.00,48,0,99.04,true
2026-07-03 21:59:58,socket,1_8,1,8,5000,1024,0.369922,13516.37,39.31,75.00,116.00,58,58,98.84,true
2026-07-03 21:59:59,tcp,1_8,1,8,5000,1024,0.385657,12964.88,40.93,83.00,118.00,43,43,99.14,true
2026-07-03 21:59:59,shared_memory,4_1,4,1,20000,1024,0.054616,366193.06,6.39,32.00,85.00,198,0,99.01,true
2026-07-03 22:00:00,socket,4_1,4,1,20000,1024,0.400173,49978.37,44.29,67.00,92.00,204,204,98.98,true
2026-07-03 22:00:00,tcp,4_1,4,1,20000,1024,0.356413,56114.68,37.46,61.00,80.00,233,233,98.84,true
2026-07-03 22:00:00,shared_memory,4_4,4,4,20000,1024,0.039324,508590.09,3.32,32.00,61.00,200,0,99.00,true
2026-07-03 22:00:01,socket,4_4,4,4,20000,1024,0.369886,54070.76,38.19,62.00,84.00,237,237,98.82,true
2026-07-03 22:00:01,tcp,4_4,4,4,20000,1024,0.360023,55552.07,36.37,63.00,88.00,202,202,98.99,true
2026-07-03 22:00:01,shared_memory,4_8,4,8,20000,1024,0.038874,514487.98,3.93,5.00,87.00,179,0,99.11,true
